Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",EEE0GA101SR,2,47 uF,C178500
"C100, C101, C150, C151, C152, C153, C154, C155, C156, C157, C170, C171, C172, C173, C180",0805,15,0.1 uF,C123316
"C4, C6, C7",EEHZT1E331UP,3,220 uF,C336328
CN100,A2000_COPRO_SLOT,1,A2000_COPRO_SLOT,
CN150,PinHeader_2x05_P2.54mm_Vertical,1,JTAG,
CN151,PinHeader_1x02_P2.54mm_Vertical,1,PROG_PWR,
CN160,HDRV40W64P254_2X20_5080X483X878P,1,40 pin IDE,
D160,LEDC2012X80N,1,IDE-ACT,
D161,LEDC2012X80N,1,CONFIG'D,
J161,PinHeader_1x02_P2.54mm_Vertical,1,AUTOBOOT,
J162,PinHeader_1x02_P2.54mm_Vertical,1,FLASHBANK,
J163,PinHeader_1x02_P2.54mm_Vertical,1,IDE LED,
J164,PinHeader_1x03_P2.54mm_Vertical,1,_CFG_IN,
J165,PinHeader_1x03_P2.54mm_Vertical,1,_CFG_OUT,
J166,PinHeader_1x02_P2.54mm_Vertical,1,_FLASHPROG,
"JP1, JP2, JP3, JP5, JP9",SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,5,Jumper_3_Bridged12,
JP11,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,1,SolderJumper_3_Bridged12,
"JP4, JP6, JP7, JP8",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,4,Jumper_2_Bridged,
"R150, R151, R152, R153, R154, R155, R156, R157, R164, R166, R167",0805,11,10K,C84376
"R160, R161, R163",0805,3,470,C4143257
U101,DIP-64_W22.86mm_LongPads,1,M68000,
U150,QFP50P1600X1600X120-100N,1,ATF1508AS-10AU100,
U170,TSOP-II-50_21.35x10.16mm_P0.8mm_HandSolder,1,KM416C4104AS-6,
U180,SOP50P1400X120-32N,1,SST39SF010A-70-4C-WHE,
